# raw CPAP telemetry
T,495017,7.77,-1.59,0
T,495037,7.83,-1.54,0
T,495057,7.77,-2.06,0
T,495077,7.85,-1.89,0
T,495097,7.79,-1.56,0
T,495117,7.78,-1.69,0
T,495137,7.78,-1.84,0
T,495157,7.69,-1.18,0
T,495177,7.83,-0.56,0
T,495197,7.78,-1.25,0
T,495217,7.77,-1.48,0
T,495237,7.74,-1.80,0
T,495257,7.78,-1.87,0
T,495277,7.70,-2.52,0
T,495297,7.79,-2.92,0
T,495317,7.81,-2.97,0
T,495337,7.78,-2.94,0
T,495357,7.81,-2.79,0
T,495377,7.86,-3.00,0
T,495397,7.86,-2.84,0
T,495417,7.76,-2.93,0
T,495437,7.89,-3.28,0
T,495457,7.78,-3.42,0
T,495477,7.72,-3.11,0
T,495497,7.72,-2.90,0
T,495517,7.84,-3.02,0
T,495537,7.87,-2.59,0
T,495557,7.80,-2.98,0
T,495577,7.78,-1.89,0
T,495597,7.86,-1.24,0
T,495617,7.82,-0.57,0
T,495637,7.79,1.06,0
T,495657,7.83,-0.06,0
T,495677,7.76,0.89,0
T,495697,7.76,0.79,0
T,495717,7.83,0.66,0
T,495737,7.76,0.06,0
T,495757,7.73,0.75,0
T,495777,7.80,1.54,0
T,495797,7.77,1.72,0
T,495817,7.81,2.36,0
T,495837,7.73,1.13,0
T,495857,7.74,1.36,0
T,495877,7.74,1.57,0
T,495897,7.79,1.19,0
T,495917,7.84,0.06,0
T,495937,7.77,0.02,0
T,495957,7.79,-0.28,0
T,495977,7.77,-0.27,0
T,495997,7.79,-0.01,0
T,496017,7.76,-0.22,0
T,496037,7.72,0.15,0
T,496057,7.82,-0.20,0
T,496077,7.88,0.48,0
T,496097,7.83,1.48,0
T,496117,7.77,2.12,0
T,496137,7.80,1.10,0
T,496157,7.79,0.50,0
T,496177,7.81,1.97,0
T,496197,7.70,1.60,0
T,496217,7.80,0.77,0
T,496237,7.68,0.17,0
T,496257,7.81,0.63,0
T,496277,7.73,-0.44,0
T,496297,7.79,-0.97,0
T,496317,7.72,-1.49,0
T,496337,7.79,-2.59,0
T,496357,7.83,-2.36,0
T,496377,7.83,-1.91,0
T,496397,7.78,-0.14,0
T,496417,7.80,-0.47,0
T,496437,7.79,-0.97,0
T,496457,7.74,-1.72,0
T,496477,7.79,-2.38,0
T,496497,7.84,-2.28,0
T,496517,7.76,-2.60,0
T,496537,7.82,-2.24,0
T,496557,7.79,-1.91,0
T,496577,7.78,-1.14,0
T,496597,7.71,-1.41,0
T,496617,7.76,-1.54,0
R,496621,18500,17484,7.76
T,496637,7.90,-1.83,0
[496.621] I [BLR] set speed 18500 rpm, ramp=0 ms
T,496657,8.09,-0.64,0
T,496677,8.22,-0.68,0
T,496697,8.28,-0.66,0
T,496717,8.47,-1.14,0
T,496737,8.47,-1.30,0
T,496757,8.58,-1.53,0
T,496777,8.61,-2.46,0
T,496797,8.74,-3.08,0
T,496817,8.72,-3.87,0
T,496837,8.72,-3.80,0
T,496857,8.61,-3.74,0
T,496877,8.60,-3.49,0
T,496897,8.84,-2.61,0
T,496917,8.80,-2.81,0
T,496937,8.75,-3.07,0
T,496957,8.64,-3.46,0
T,496977,8.70,-2.92,0
T,496997,8.76,-3.64,0
T,497017,8.77,-3.25,0
T,497037,8.74,-3.49,0
T,497057,8.64,-3.65,0
T,497077,8.73,-2.75,0
T,497097,8.67,-3.20,0
T,497117,8.71,-2.71,0
T,497137,8.77,-2.88,0
T,497157,8.73,-2.67,0
T,497177,8.62,-3.09,0
T,497197,8.82,-2.63,0
T,497217,8.73,-2.92,0
T,497237,8.70,-3.40,0
T,497257,8.76,-3.55,0
T,497277,8.77,-4.64,0
T,497297,8.69,-4.68,0
T,497317,8.64,-4.58,0
T,497337,8.74,-3.75,0
T,497357,8.81,-3.53,0
T,497377,8.75,-4.09,0
T,497397,8.75,-4.44,0
T,497417,8.73,-4.97,0
T,497437,8.77,-3.91,0
T,497457,8.66,-4.00,0
T,497477,8.76,-3.10,0
T,497497,8.79,-2.77,0
T,497517,8.70,-3.43,0
T,497537,8.73,-3.08,0
